Scenario,Cost,Time,Env
Baseline,15925.262151079229,108.0,5443863.100959804
Baseline,20123.71398399856,88.0,5115890.53272043
Baseline,12929.280482972503,130.0,5063353.987902538
Baseline,14499.999379785106,121.0,4878622.9209666625
Baseline,16559.848752964044,106.0,5381320.877101352
Baseline,13397.315457550007,127.0,4943203.904844882
Baseline,15372.928632620537,115.0,4962630.805822926
Baseline,13700.621647543976,125.0,4996036.676495947
Baseline,18753.93607316528,94.0,5195279.637700769
Baseline,15602.192902499604,110.0,5417458.850697831
Baseline,14698.86963328842,120.0,4886437.136103284
Baseline,15168.208872705552,113.0,5287511.920703072
Baseline,17353.78838155709,100.0,5311737.599050411
Baseline,19295.669214166955,92.0,5145499.260247552
Baseline,19784.46439142508,90.0,5125328.233842717
Baseline,14086.106825005729,123.0,4904357.579701964
Baseline,16503.292467191004,105.0,5397585.626973573
Baseline,13077.97002597163,128.0,5051364.963112211
Baseline,15338.570686521187,111.0,5355346.797259483
Baseline,14989.874518960727,118.0,4971684.79213961
Baseline,14012.633771066701,124.0,4931081.301206941
Baseline,14614.1558923776,118.0,5343984.873971307
Baseline,13882.992446251319,125.0,4920612.445244128
Baseline,19963.122446014244,89.0,5082125.762044227
Baseline,19475.245039244463,91.0,5137754.58918929
Baseline,18323.843958873113,96.0,5179203.6143744225
Baseline,19544.43009779035,92.0,5076307.731224948
Baseline,17660.194921463994,101.0,5162401.334465156
Baseline,17704.61016411609,103.0,5011053.771379952
Baseline,16842.292014596238,105.0,5179214.228781757
Baseline,13144.747424771633,129.0,5036396.681507326
Baseline,17277.68625965324,102.0,5106080.599771417
Baseline,18523.798926937903,95.0,5196281.301501739
Baseline,15007.880362428454,117.0,5040260.595657846
Baseline,16333.628060702637,108.0,5257053.023671944
Baseline,17840.353484624895,99.0,5174286.521861603
Baseline,15672.119777766238,114.0,4985503.100787715
Baseline,15825.153998864573,111.0,5217336.397674718
Baseline,16715.435598706084,104.0,5238201.604674776
Baseline,17140.306200177805,101.0,5261523.954202043
Baseline,19344.469117146866,94.0,5084344.425673683
Baseline,18644.3433019634,97.0,5098988.63692292
Baseline,13296.879655155202,127.0,4990854.441334526
Baseline,17918.269937046785,98.0,5224942.943045556
Baseline,15903.289112185577,110.0,5267987.836201616
Baseline,18469.63065283442,97.0,5150726.4466939205
Baseline,15962.919155549002,109.0,5189335.218636276
Baseline,18086.645347269292,97.0,5206353.185259067
Baseline,17804.72097945398,100.0,5244101.9099866655
Baseline,16242.398655846528,109.0,5177169.996080956
Fragile Env (-50% Threshold),13237.485640868352,127.0,13552000.917810485
Fragile Env (-50% Threshold),16520.68182130881,103.0,15326146.277452901
Fragile Env (-50% Threshold),20151.442672517922,88.0,14616624.351269308
Fragile Env (-50% Threshold),12834.891059308264,130.0,13726252.374882909
Fragile Env (-50% Threshold),12610.342227114259,129.0,13873825.310502242
Fragile Env (-50% Threshold),19656.61485509929,90.0,14696698.278606908
Fragile Env (-50% Threshold),15305.224592686282,112.0,14277442.06568614
Fragile Env (-50% Threshold),17345.335315121938,99.0,15215851.924542477
Fragile Env (-50% Threshold),14775.838376585314,116.0,14198242.39214777
Fragile Env (-50% Threshold),14489.162645511406,118.0,13896199.33240103
Fragile Env (-50% Threshold),14782.624376149512,117.0,14073598.68302236
Fragile Env (-50% Threshold),18949.96329110179,94.0,14504219.72826028
Fragile Env (-50% Threshold),18302.016820806388,97.0,14670301.016369442
Fragile Env (-50% Threshold),16454.665554940362,105.0,14849766.556963239
Fragile Env (-50% Threshold),17656.888777852473,102.0,14410435.386569528
Fragile Env (-50% Threshold),18391.55304511648,96.0,14586794.10175977
Fragile Env (-50% Threshold),19484.54314523391,91.0,14721133.00541481
Fragile Env (-50% Threshold),17100.964951759164,101.0,14997083.055766018
Fragile Env (-50% Threshold),15640.751690125064,110.0,14670898.994138485
Fragile Env (-50% Threshold),16011.216652281732,107.0,15067343.503239013
Fragile Env (-50% Threshold),15012.695344958498,113.0,14369894.742431413
Fragile Env (-50% Threshold),17694.372195473923,100.0,14935146.799879644
Fragile Env (-50% Threshold),16693.00170464426,106.0,14463587.167223707
Fragile Env (-50% Threshold),16206.398857883432,106.0,14916230.490297731
Fragile Env (-50% Threshold),17993.406174768526,99.0,14667825.029714588
Fragile Env (-50% Threshold),18753.07062250439,93.0,14807911.923056813
Fragile Env (-50% Threshold),18537.313006776087,95.0,14718452.932239695
Fragile Env (-50% Threshold),15839.712071767726,109.0,14340658.814390402
Fragile Env (-50% Threshold),16911.58142349115,101.0,15204697.482258756
Fragile Env (-50% Threshold),14124.396968853782,123.0,13635987.92660367
Fragile Env (-50% Threshold),14007.66509387404,120.0,14022703.609031059
Fragile Env (-50% Threshold),13699.456567673713,125.0,13799876.496042581
Fragile Env (-50% Threshold),14260.398512331989,119.0,13967632.598247636
Fragile Env (-50% Threshold),19199.29520986533,92.0,14747471.395475881
Fragile Env (-50% Threshold),16506.15021062528,104.0,15166146.907172019
Fragile Env (-50% Threshold),13378.191270501055,124.0,13978068.224535638
Fragile Env (-50% Threshold),13047.808762555102,127.0,13676519.007803565
Fragile Env (-50% Threshold),13553.89317199333,125.0,13815380.556194602
Fragile Env (-50% Threshold),15708.13632560824,111.0,14538475.684958158
Fragile Env (-50% Threshold),16632.025072222652,104.0,15098320.903873865
Fragile Env (-50% Threshold),13348.968007435957,126.0,13562718.948825505
Fragile Env (-50% Threshold),17514.834506061485,100.0,15000388.448182289
Fragile Env (-50% Threshold),14829.922983689483,115.0,14046408.234508105
Fragile Env (-50% Threshold),19100.134109224684,93.0,14771366.103010109
Fragile Env (-50% Threshold),14768.850305872684,115.0,14369082.585011078
Fragile Env (-50% Threshold),15250.461650612722,114.0,13951253.954476299
Fragile Env (-50% Threshold),15156.835774504762,111.0,14792858.55159915
Fragile Env (-50% Threshold),13802.244820918908,122.0,13838919.855610678
Fragile Env (-50% Threshold),13012.315524323714,128.0,13583518.969846984
Fragile Env (-50% Threshold),14013.087989733973,121.0,13949116.497390335
High Rocket Cost (+50%),21617.279775024374,108.0,5431853.030363953
High Rocket Cost (+50%),17237.292005836196,129.0,4821039.418741922
High Rocket Cost (+50%),28742.890803756054,87.0,5148737.551047865
High Rocket Cost (+50%),16917.825763144483,128.0,4944156.327305175
High Rocket Cost (+50%),17572.470257422985,127.0,4819024.582188542
High Rocket Cost (+50%),20023.546746522556,114.0,5270276.607904534
High Rocket Cost (+50%),23602.340430223452,102.0,5169481.47188805
High Rocket Cost (+50%),24788.796109462288,101.0,4965732.249987733
High Rocket Cost (+50%),23072.994985225418,110.0,4929239.861550937
High Rocket Cost (+50%),25325.488184374502,98.0,5184539.726217171
High Rocket Cost (+50%),28418.722353285593,88.0,5102496.67944103
High Rocket Cost (+50%),19326.90854960982,121.0,4908953.528467857
High Rocket Cost (+50%),21068.467466333397,118.0,4864105.3109895345
High Rocket Cost (+50%),17668.494628990677,126.0,4844337.786236601
High Rocket Cost (+50%),20908.262947308816,112.0,5248842.316070947
High Rocket Cost (+50%),27574.21473259114,92.0,5092054.647552146
High Rocket Cost (+50%),27801.32569538009,90.0,5066619.903866353
High Rocket Cost (+50%),19783.712106431445,116.0,5129376.78334025
High Rocket Cost (+50%),18687.64016682608,122.0,4952215.26972675
High Rocket Cost (+50%),18987.316283175434,119.0,5176144.953597963
High Rocket Cost (+50%),21945.508872477727,107.0,5407082.652904811
High Rocket Cost (+50%),24381.958741191007,100.0,5113859.195001093
High Rocket Cost (+50%),22809.880806400353,105.0,5150245.904408521
High Rocket Cost (+50%),22074.617322659014,107.0,5209047.20590335
High Rocket Cost (+50%),26272.364410509013,94.0,5195055.422308369
High Rocket Cost (+50%),17966.552037825157,124.0,4915809.096529472
High Rocket Cost (+50%),21346.90408950067,109.0,5375703.024315614
High Rocket Cost (+50%),28130.47473584807,89.0,5177960.4372749
High Rocket Cost (+50%),17999.779251010128,125.0,4895512.47383469
High Rocket Cost (+50%),26900.491044782248,93.0,5051096.813559538
High Rocket Cost (+50%),23916.00202145828,104.0,5069862.3433181215
High Rocket Cost (+50%),20323.670310507776,113.0,5326239.663971588
High Rocket Cost (+50%),19546.97205110971,119.0,4999740.671614034
High Rocket Cost (+50%),25679.179059920956,97.0,5036508.356901921
High Rocket Cost (+50%),18578.763938320648,123.0,4894393.104936497
High Rocket Cost (+50%),26622.782672329897,93.0,5224195.406269799
High Rocket Cost (+50%),18394.15114988534,123.0,5017860.883826319
High Rocket Cost (+50%),20756.49824131571,111.0,5343592.077299268
High Rocket Cost (+50%),22010.8119029944,106.0,5296063.521650677
High Rocket Cost (+50%),27612.120448395297,91.0,5044126.186396514
High Rocket Cost (+50%),26016.65061829777,96.0,5028520.231123577
High Rocket Cost (+50%),24696.072020097992,99.0,5091774.440142668
High Rocket Cost (+50%),22478.994463650186,111.0,4975412.919725107
High Rocket Cost (+50%),21114.142473096133,110.0,5308853.03610983
High Rocket Cost (+50%),26721.577187757874,94.0,5081122.508785863
High Rocket Cost (+50%),19847.444505356692,117.0,5081971.719052598
High Rocket Cost (+50%),20217.966125958545,113.0,5396306.365517264
High Rocket Cost (+50%),17183.49608919477,128.0,4822255.960149156
High Rocket Cost (+50%),21539.083120861593,109.0,5361134.621201062
High Rocket Cost (+50%),20464.996283300585,116.0,4986385.953219491
Low SE Capacity (-20%),18221.796651487013,112.0,3941303.928679863
Low SE Capacity (-20%),15655.354034193895,130.0,3604016.9716300545
Low SE Capacity (-20%),21213.207704387,97.0,3811929.929760704
Low SE Capacity (-20%),15458.219751945739,129.0,3740454.7177706067
Low SE Capacity (-20%),17025.32752184909,124.0,3563128.565205399
Low SE Capacity (-20%),19327.663110038084,104.0,3918201.814325996
Low SE Capacity (-20%),20995.019595134345,98.0,3833609.6981518497
Low SE Capacity (-20%),16631.28481392752,126.0,3566584.9506792827
Low SE Capacity (-20%),16306.623281813725,127.0,3578691.0056154756
Low SE Capacity (-20%),19858.352518635693,102.0,3892318.8030061545
Low SE Capacity (-20%),18726.279788802738,108.0,3818462.1715801945
Low SE Capacity (-20%),20102.212525956704,102.0,3856078.3627705686
Low SE Capacity (-20%),18992.87510854536,107.0,3872576.01456725
Low SE Capacity (-20%),20343.592639846793,100.0,3842404.7981816
Low SE Capacity (-20%),16175.113960458671,128.0,3606465.363937703
Low SE Capacity (-20%),19651.367144134176,103.0,3905470.403831498
Low SE Capacity (-20%),17900.438366608527,115.0,3698314.0577733973
Low SE Capacity (-20%),18452.01136721466,110.0,3863748.3332170383
Low SE Capacity (-20%),20600.15723446778,100.0,3791542.1099583376
Low SE Capacity (-20%),18622.340981205685,114.0,3633106.565062553
Low SE Capacity (-20%),20579.6542671271,99.0,3835088.73705668
Low SE Capacity (-20%),18893.583026021795,109.0,3766857.507367335
Low SE Capacity (-20%),17608.580742066722,118.0,3649857.919949431
Low SE Capacity (-20%),17669.589047132784,116.0,3716370.6748060873
Low SE Capacity (-20%),15879.101423523247,130.0,3591538.89041748
Low SE Capacity (-20%),18304.147936758203,111.0,3861584.7917274144
Low SE Capacity (-20%),18179.504025654853,115.0,3619907.0649690814
Low SE Capacity (-20%),15693.495985368992,129.0,3701788.983091219
Low SE Capacity (-20%),16876.243892656606,123.0,3625156.098800808
Low SE Capacity (-20%),17241.411773207743,119.0,3642150.6994568324
Low SE Capacity (-20%),20166.03162894784,101.0,3862977.9231872438
Low SE Capacity (-20%),17174.079205574362,120.0,3666606.8591476055
Low SE Capacity (-20%),17424.85310546288,117.0,3774599.106702242
Low SE Capacity (-20%),16337.360323587736,125.0,3737296.7898558686
Low SE Capacity (-20%),16500.735028344774,125.0,3588511.6742624664
Low SE Capacity (-20%),19722.23418705506,105.0,3794795.101192198
Low SE Capacity (-20%),18425.152794859405,109.0,3887525.776251416
Low SE Capacity (-20%),19408.390317613892,106.0,3792417.528098217
Low SE Capacity (-20%),15463.999905096516,129.0,3726878.562860917
Low SE Capacity (-20%),16472.652000785307,123.0,3717434.7259630566
Low SE Capacity (-20%),18362.725741286067,114.0,3691042.652103252
Low SE Capacity (-20%),18087.57379690632,113.0,3786364.40196208
Low SE Capacity (-20%),17084.248232140068,120.0,3758430.522570933
Low SE Capacity (-20%),15825.940724824759,128.0,3643486.174534198
Low SE Capacity (-20%),17345.337183472562,118.0,3836707.941183669
Low SE Capacity (-20%),20298.81202331424,104.0,3801251.314909744
Low SE Capacity (-20%),17556.955777116105,117.0,3746857.8225206765
Low SE Capacity (-20%),17130.561752535534,122.0,3593370.864965011
Low SE Capacity (-20%),21031.505061915766,98.0,3801440.2299308195
Low SE Capacity (-20%),16815.98209611752,124.0,3639518.6463457355
